ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
30038,"2025-12-09","2025-12-12",3,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMF249N8ST","3756"
30040,"2025-12-22","2026-01-03",11,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2S2S34XM","4082"
30042,"2026-01-03","2026-01-14",11,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMNAZMM2XM","8100"
30044,"2026-01-18","2026-01-26",8,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCBCTKCDB","0294"
30046,"2026-02-10","2026-02-18",8,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMNT8TNSM3","1552"
30048,"2026-02-28","2026-03-08",10,3,2,"N/A","N/A",9969,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMB4M2XWK3","8826"
30050,"2026-04-16","2026-10-19",33,3,2,"N/A","N/A",9969,0,"COP","Airbnb","",""
29994,"2025-11-06","2025-11-13",7,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMX8CYMDAB","5890"
29996,"2025-11-16","2025-11-23",7,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMEA88THWS","7287"
29998,"2025-11-27","2025-12-02",5,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMN5B24BK3","3497"
30000,"2025-12-03","2025-12-06",3,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRXW5M8Q4","2247"
30002,"2025-12-09","2025-12-13",4,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMFRYWQSCQ","5776"
30004,"2025-12-13","2025-12-18",5,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM3RE3BHFZ","2074"
30006,"2025-12-19","2025-12-28",9,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMH425T5X3","1797"
30008,"2025-12-31","2026-01-05",4,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMXHNKHTX3","7356"
30010,"2026-01-05","2026-01-10",5,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM8QHR48RH","9329"
30012,"2026-01-10","2026-01-16",6,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMDT83B485","7359"
30014,"2026-01-20","2026-01-24",4,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMKFMCHS9M","1232"
30016,"2026-01-29","2026-02-05",6,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMR523KMDN","7975"
30018,"2026-02-10","2026-02-16",6,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMF2WPFXDN","6710"
30020,"2026-02-23","2026-03-03",10,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCERQHC5B","4800"
30022,"2026-03-15","2026-03-25",10,3,2,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMTNFCBFQJ","8324"
30026,"2026-04-16","2026-10-19",33,3,2,"N/A","N/A",325,0,"COP","Airbnb","",""
29992,"2026-04-04","2026-04-11",7,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZWYP3WKC","4415"
29958,"2026-04-16","2026-10-19",33,3,0,"N/A","N/A",331,0,"COP","Airbnb","",""
29952,"2026-01-19","2026-01-28",9,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMT5EHBJP2","1746"
29940,"2025-11-14","2025-11-19",5,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM93BPSWEH","2200"
29942,"2025-12-02","2025-12-07",5,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMHSFRT8S4","8389"
29944,"2025-12-24","2025-12-29",5,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HME3JWKDND","7404"
29946,"2025-12-29","2026-01-05",6,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMANX4H5NS","0741"
29948,"2026-01-07","2026-01-10",3,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMSAZTD9K8","2750"
29950,"2026-01-10","2026-01-13",3,3,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRERMZ8KE","6382"
29904,"2025-12-31","2026-01-07",6,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMHTPKP82B","8343"
29906,"2026-01-07","2026-01-11",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRDSRQFZY","9500"
29908,"2026-01-12","2026-01-15",3,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZJJ5MTF9","4116"
29910,"2026-01-16","2026-01-19",3,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM8H28PKAN","2377"
29912,"2026-01-22","2026-01-26",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRBTZE8ET","6683"
29914,"2026-01-26","2026-02-02",6,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMEKMT5F34","6596"
29916,"2026-02-02","2026-02-06",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMSW3NN594","1983"
29918,"2026-02-11","2026-02-14",3,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMYWDXWBSM","1908"
29920,"2026-02-15","2026-02-20",5,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4JQ2ZYST","7947"
29922,"2026-02-22","2026-03-02",10,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4W5TT2AA","4253"
29924,"2026-03-05","2026-03-13",8,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM9S8HDCJN","3056"
29926,"2026-03-13","2026-03-22",9,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMMMTBYR4S","4718"
29928,"2026-04-16","2026-10-19",33,2,1,"N/A","N/A",10096,0,"COP","Airbnb","",""
29884,"2025-10-18","2025-10-23",5,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCWSQHBMJ","0411"
29886,"2025-10-23","2025-10-27",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMRRQC2WD3","7134"
29888,"2025-11-02","2025-11-06",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMPDYWRTRH","1838"
29890,"2025-11-06","2025-11-13",7,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM4JFK3P3H","0234"
29892,"2025-11-15","2025-11-19",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMZWYQPS84","8885"
29894,"2025-11-20","2025-11-27",7,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMYQ3WZAYX","2914"
29896,"2025-11-29","2025-12-05",6,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM294ABTZ2","2666"
29898,"2025-12-06","2025-12-15",9,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMTNYWBJW2","2512"
29900,"2025-12-17","2025-12-21",4,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM8M3E8DJ2","9476"
29902,"2025-12-22","2025-12-28",6,2,1,"N/A","N/A",10096,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM8NCRCS2Z","3964"
